name,int_code
(مجموعة عامر القابضة (عامر جروب,EGS675S1C011
A.T.LEASEالتوفيق للتأجير التمويلي -أية.تي.ليس,EGS676N1C015
EAC المصرية العربية (ثمار) لتداول الاوراق المالية والسندات,EGS681D1C010
EGX 30 INDEX ETF-وثائق استثمار شركة صناديق المؤشرات,EGS69491M015
Taaleem Management Services تعليم لخدمات الإدارة,EGS597R1C017
أم بي للهندسةM.B,EGS221V1C015
إعمار مصر للتنمية,EGS673Y1C015
ابن سينا فارما,EGS512O1C012
ابوقير للاسمدة والصناعات الكيماوية,EGS38191C010
اجواء للصناعات الغذائية - مصر,EGS30211C014
ارابيا انفستمنتس هولدنج,EGS21351C019
اسباير كابيتال القابضة للاستثمارات المالية,EGS691L1C018
اسمنت سيناء,EGS3C401C014
اسيك للتعدين - اسكوم,EGS10001C013
اصول E.S.B. للوساطة في الاوراق المالية,EGS68181C014
اطلس للاستثمار والصناعات الغذائية,EGS071L1C018
اكت فاينانشال للاستشارات,EGS7D5P1C019
اكتوبر فارما,EGS380R1C018
اكرومصر للشدات والسقالات المعدنية,EGS3E071C013
الاستثمار العقاري العربي - اليكو,EGS65011C016
الاسكندرية لتداول الحاويات والبضائع,EGS42111C012
الاسكندرية للادوية والصناعات الكيماوية,EGS38341C011
الاسكندرية للخدمات الطبية - المركز الطبى الجديد - الاسكندرية,EGS72081C010
الاسكندرية للزيوت المعدنية,EGS380P1C010
الاسكندرية للغزل والنسيج (سبينالكس),EGS32041C013
الاسكندريه الوطنيه للاستثمارات الماليه,EGS67331C016
الاسماعيلية الجديدة للتطوير والتنمية العمرانية-شركة منقسمة,EGS214Q1C011
الاسماعيلية الوطنية للصناعات الغذائية (فوديكو),EGS01041C010
الاسماعيلية مصر للدواجن,EGS02021C011
الالومنيوم العربية,EGS3D031C018
الاهرام للطباعة و التغليف,EGS360A1C011
الاهلي للتنمية والاستثمار,EGS69021C011
البنك التجاري الدولي -مصر (سى اى بى ),EGS60121C018
البنك المصري الخليجي,EGS60182C010
البنك المصري لتنمية الصادرات,EGS60241C014
التعمير والاستشارات الهندسية,EGS65081C019
الجيزةالعامة للمقاولات والاستثمارالعقارى,EGS21541C015
الحديد والصلب المصرية,EGS3D061C015
الحديد والصلب للمناجم والمحاجر,EGS102S1C014
الحفر الوطنية,EGS735N2C012
الخدمات الملاحية والبترولية - ماريديف,EGS44012C010
الخليجية الكندية للاستثمار العقاري العربي,EGS651B1C018
الدلتا للتأمين,EGS63031C016
الدلتا للسكر,EGS30201C015
الدولية للأسمدة والكيماويات,EGS520D1C015
الدولية للتأجير التمويلي (إنكوليس),EGS67001C015
الدوليه للمحاصيل الزراعيه,EGS07061C012
الزيوت المستخلصة ومنتجاتها,EGS38251C012
السادس من اكتوبر للتنميه والاستثمار- سوديك,EGS65851C015
السعودية المصرية للاستثمار والتمويل,EGS67031C012
السعودية المصرية للاستثمار والتمويل $,EGS67032C010
السويدى اليكتريك,EGS3G0Z1C014
الشرق الأوسط لصناعة الزجاج,EGS3C001C012
الشرقية - ايسترن كومباني,EGS37091C013
الشرقية الوطنية للامن الغذائي,EGS30291C016
الشركة العربية لادارة وتطوير الاصول,EGS72AQ1C016
الشمس بيراميدز للفنادق والمنشأت السياحية,EGS70H02C014
الشمس للاسكان والتعمير,EGS65091C018
الصعيد العامة للمقاولات والاستثمار العقاري SCCD,EGS21531C016
الصناعات الغذائية العربية-دومتى,EGS30031C016
الصناعات الكيماوية المصرية - كيما,EGS38201C017
الصناعات الهندسية المعمارية للانشاء والتعمير - ايكون,EGS3F021C017
العاشر من رمضان للصناعات الدوائية والمستحضرات تشخيصية-راميدا,EGS381B1C015
العالمية للاستثمار والتنمية,EGS67191C014
العامة لاستصلاح الاراضي و التنمية و التعمير,EGS01081C016
